kickoff,marketId,comp.name,game,team.h.id,draw.id,team.a.id,variable,value,bf,size,dif,xr,xv,back.id,status,stake
2018-06-10 15:00:00,1.144564388,Norwegian 3 Division,Molde 2 - Ready,5790075,58805,14282745,h,1.12,1.23,127.04,0.11,1.09821428571429,0.093303571428571,5790075,WINNER,1
,1.144539535,Czech 3 Liga,Lisen - Hlucin,4940255,58805,4142641,h,1.74,1.93,51.81,0.19,1.10919540229885,0.109195402298851,4940255,LOSER,1
2018-06-10 14:00:00,1.144564297,Norwegian 3 Division,Frigg - Sortland,398324,58805,4698755,h,1.15,1.36,98.18,0.21,1.18260869565217,0.173478260869565,398324,WINNER,1
2018-06-10 16:00:00,1.1444041,Norwegian 2 Division,Bryne - V. Haugesund,7033,58805,398340,a,8.5,10,21.34,1.5,1.17647058823529,0.167647058823529,398340,LOSER,1
,1.144366373,Norwegian 2 Division,Grorud - Alta,6419263,58805,168738,a,2.54,2.68,31.7,0.14,1.05511811023622,0.055118110236221,168738,LOSER,1
,1.144547047,Campeonato Primavera,Fiorentina U19 - Inter U19,6612360,58805,2503323,h,2.87,3,10.95,0.13,1.04529616724739,0.045296167247387,6612360,LOSER,1
,1.144366373,Norwegian 2 Division,Grorud - Alta,6419263,58805,168738,h,2.34,2.5,35,0.16,1.06837606837607,0.068376068376069,6419263,LOSER,1
2018-06-10 16:00:00,1.14455906,Portuguese Campeonato Nacional,Mafra - SC Farense,2268747,58805,48788,d,3.7,4.3,10.67,0.6,1.16216216216216,0.154054054054054,58805,LOSER,1
2018-06-10 15:00:00,1.144560129,Czech 3 Liga,Stechovice - Kraluv Dvur,7589994,58805,4142633,a,3.46,3.8,22.38,0.34,1.09826589595376,0.093352601156069,4142633,LOSER,1
,1.144539535,Czech 3 Liga,Lisen - Hlucin,4940255,58805,4142641,d,3.97,4.3,15.41,0.33,1.0831234256927,0.083123425692695,58805,WINNER,1
2018-06-10 13:00:00,1.144564479,Norwegian 3 Division,Varegg - Viking 2,8470254,58805,5643008,h,4.44,5.7,176.36,1.26,1.28378378378378,0.269594594594594,8470254,LOSER,1
,1.144366373,Norwegian 2 Division,Grorud - Alta,6419263,58805,168738,d,3.63,3.9,14.97,0.27,1.07438016528926,0.074380165289256,58805,WINNER,1
2018-06-10 16:00:00,1.144403297,World Cup Qualifying (W),Moldova W - Belgium W,9370030,58805,5614586,h,38.62,90,13.57,51.38,2.33039875712066,1.26387881926463,9370030,LOSER,1
,1.144547047,Campeonato Primavera,Fiorentina U19 - Inter U19,6612360,58805,2503323,a,2.16,2.28,10.41,0.12,1.05555555555556,0.052777777777778,2503323,LOSER,1
2018-06-10 13:00:00,1.144564897,Oberliga,VfL Vichttal - TV Herkenrath,12122076,58805,11817836,h,7.8,8.6,16.61,0.8,1.1025641025641,0.097435897435898,12122076,LOSER,1
2018-06-10 14:30:00,1.144404088,Norwegian 2 Division,Brattvag - Skeid,3873340,58805,152574,h,4.16,4.7,11.07,0.54,1.12980769230769,0.123317307692308,3873340,LOSER,1
2018-06-10 15:00:00,1.144564388,Norwegian 3 Division,Molde 2 - Ready,5790075,58805,14282745,a,13.18,16,10.8,2.82,1.21396054628225,0.203262518968134,14282745,LOSER,1
2018-06-10 16:00:00,1.144403297,World Cup Qualifying (W),Moldova W - Belgium W,9370030,58805,5614586,d,17.13,27,50.27,9.87,1.57618213660245,0.547373029772329,58805,LOSER,1
2018-06-10 14:00:00,1.144404191,Norwegian 2 Division,Raufoss - Mjolner,152564,58805,3038747,a,9.41,10.5,11.85,1.09,1.11583421891605,0.110042507970244,3038747,WINNER,1
2018-06-10 14:00:00,1.144471412,Malaysian Super League,PKNS FC - Selangor,5333550,58805,5391095,a,3.13,3.55,36.22,0.42,1.13418530351438,0.127476038338658,5391095,LOSER,1
2018-06-10 14:00:00,1.144469669,Icelandic Second Division,Kari - Leiknir F.,6379239,58805,8200351,h,1.57,1.75,54.41,0.18,1.11464968152866,0.108917197452229,6379239,WINNER,1
2018-06-10 14:00:00,1.144564297,Norwegian 3 Division,Frigg - Sortland,398324,58805,4698755,a,9.76,12,13.18,2.24,1.22950819672131,0.218032786885246,4698755,LOSER,1
2018-06-10 15:00:00,1.144560129,Czech 3 Liga,Stechovice - Kraluv Dvur,7589994,58805,4142633,h,1.74,1.89,59.6,0.15,1.08620689655172,0.081896551724138,7589994,WINNER,1
2018-06-10 16:00:00,1.14440408,Norwegian 2 Division,Hodd - Arendal,44824,58805,2440416,a,3,3.3,11.57,0.3,1.1,0.095,2440416,LOSER,1
