game,kickoff,bs,marketId,comp.name,home.away,odds,team,id,betId,back.lay,price,size,alpha,true.p,true.p.not,liability,stake,xv
Khanh Hoa - Binh Duong,2018-06-26T10:00:00Z,10,1.144940733,Vietnam V-League,1,2.01,Khanh Hoa,7432104,1,back,2.16,389.97,0.034,0.465004975124378,0.534995024875622,5,5,-0.0225595422885572
Thanh Hoa - Hai Phong,2018-06-26T10:00:00Z,9,1.144842207,Vietnam V-League,1,2.1,Thanh Hoa,7227126,7,back,2.12,226.68,0.034,0.443619047619048,0.556380952380953,5,5,-0.0843702857142858
Persija Jakarta - Persebaya,2018-06-26T11:30:00Z,10,1.144939231,Indonesian Super League,1,1.67,Persija Jakarta,5221469,4,back,1.8,168.86,0.034,0.56659880239521,0.43340119760479,5,5,-0.00278610778443122
Khanh Hoa - Binh Duong,2018-06-26T10:00:00Z,10,1.144940733,Vietnam V-League,2,3.31,Binh Duong,2909643,2,back,3.55,174.33,0.037,0.268740181268882,0.731259818731118,5,5,-0.080236729607251
Thanh Hoa - Hai Phong,2018-06-26T10:00:00Z,9,1.144842207,Vietnam V-League,2,3.18,Hai Phong,9109500,8,back,3.6,201.89,0.037,0.281238993710692,0.718761006289308,5,5,-0.0241006918238993
Persija Jakarta - Persebaya,2018-06-26T11:30:00Z,10,1.144939231,Indonesian Super League,2,4.59,Persebaya,10224413,5,back,4.8,211.15,0.037,0.183479302832244,0.816520697167756,5,5,-0.154160413943355
Khanh Hoa - Binh Duong,2018-06-26T10:00:00Z,10,1.144940733,Vietnam V-League,3,3.32,draw,58805,3,back,3.45,55.27,0.057,0.268602409638554,0.731397590361446,5,5,-0.106225481927711
Thanh Hoa - Hai Phong,2018-06-26T10:00:00Z,9,1.144842207,Vietnam V-League,3,3.24,draw,58805,9,back,3.55,54.75,0.057,0.276641975308642,0.723358024691358,5,5,-0.053192839506173
Persija Jakarta - Persebaya,2018-06-26T11:30:00Z,10,1.144939231,Indonesian Super League,3,3.58,draw,58805,6,back,3.75,52.29,0.057,0.24495530726257,0.75504469273743,5,5,-0.115098952513967
Khanh Hoa - Binh Duong,2018-06-26T10:00:00Z,10,1.144940733,Vietnam V-League,1,2.01,Khanh Hoa,7432104,1,lay,2.26,123.65,0.034,0.465004975124378,0.534995024875622,5,3.96825396825397,-0.0616357103372028
Thanh Hoa - Hai Phong,2018-06-26T10:00:00Z,9,1.144842207,Vietnam V-League,1,2.1,Thanh Hoa,7227126,7,lay,2.2,15.7,0.034,0.443619047619048,0.556380952380953,5,4.16666666666667,-0.00315079365079365
Persija Jakarta - Persebaya,2018-06-26T11:30:00Z,10,1.144939231,Indonesian Super League,1,1.67,Persija Jakarta,5221469,4,lay,1.85,17.08,0.034,0.56659880239521,0.43340119760479,5,5.88235294117647,-0.0822092286016203
Khanh Hoa - Binh Duong,2018-06-26T10:00:00Z,10,1.144940733,Vietnam V-League,2,3.31,Binh Duong,2909643,2,lay,3.85,65.3,0.037,0.268740181268882,0.731259818731118,5,1.75438596491228,-0.0249869083585095
Thanh Hoa - Hai Phong,2018-06-26T10:00:00Z,9,1.144842207,Vietnam V-League,2,3.18,Hai Phong,9109500,8,lay,3.9,128.19,0.037,0.281238993710692,0.718761006289308,5,1.72413793103448,-0.0457828019952288
Persija Jakarta - Persebaya,2018-06-26T11:30:00Z,10,1.144939231,Indonesian Super League,2,4.59,Persebaya,10224413,5,lay,5.3,36.93,0.037,0.183479302832244,0.816520697167756,5,1.16279069767442,-0.00308519531843745
Khanh Hoa - Binh Duong,2018-06-26T10:00:00Z,10,1.144940733,Vietnam V-League,3,3.32,draw,58805,3,lay,3.7,56.29,0.057,0.268602409638554,0.731397590361446,5,1.85185185185185,-0.0112588130298974
Thanh Hoa - Hai Phong,2018-06-26T10:00:00Z,9,1.144842207,Vietnam V-League,3,3.24,draw,58805,9,lay,3.8,52.29,0.057,0.276641975308642,0.723358024691358,5,1.78571428571429,-0.0312169312169312
Persija Jakarta - Persebaya,2018-06-26T11:30:00Z,10,1.144939231,Indonesian Super League,3,3.58,draw,58805,6,lay,4.1,55.68,0.057,0.24495530726257,0.75504469273743,5,1.61290322580645,-0.0135706433591638
